交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,內湖路一段９１巷８３號五樓,5.0,0.0,1,27.44,864670,2.0,975000.0,25.089157,121.562594,劍南路站出口1,836,有電梯_7樓以下
房地(土地+建物),承德路四段１１０號三樓之３,3.0,47.0,1,31.89,721172,0.0,,25.083114,121.523214,劍潭站出口2,156,有電梯_7樓以下
房地(土地+建物)+車位,中山北路七段２１９巷３弄２７５號六樓之３,6.0,17.0,1,38.34,862865,7.86,0.0,25.132533,121.530182,石牌站出口1,2465,有電梯_7樓以下
房地(土地+建物),天母北路１０５巷１５弄２號五樓之２,5.0,29.0,1,12.24,719183,0.0,,25.124051,121.527717,石牌站出口1,1611,有電梯_7樓以下
房地(土地+建物),光復北路１９０巷２９號三樓,3.0,23.0,1,55.15,915656,0.0,,25.054756,121.554593,台北小巨蛋站出口4,397,有電梯_7樓以下
房地(土地+建物)+車位,信義路二段１９８巷４２號五樓之３,5.0,29.0,1,40.27,1047305,0.0,,25.030217,121.531408,東門站出口5,419,有電梯_7樓以下
房地(土地+建物)+車位,環山路二段３０號二樓之６,2.0,6.0,1,31.16,916826,9.7,309278.0,25.085887,121.573231,港墘站出口2,664,有電梯_7樓以下
房地(土地+建物)+車位,興城街７０號六樓之６,6.0,2.0,1,53.77,957796,0.0,,25.059555,121.51735,民權西路站出口2,343,有電梯_7樓以下
房地(土地+建物),連雲街５７之２號四樓之１,4.0,33.0,1,19.87,1343056,0.0,,25.035008,121.53058,東門站出口6,136,有電梯_7樓以下
房地(土地+建物),復興北路２３２號五樓之３,5.0,39.0,1,32.42,890756,0.0,,25.05723,121.543922,中山國中站出口,400,有電梯_7樓以下
房地(土地+建物)+車位,吳興街３９４巷３７號四樓,4.0,0.0,1,37.36,913081,6.77,369276.0,25.024454,121.565582,台北101/世貿站出口3,942,有電梯_7樓以下
房地(土地+建物),中山北路七段２１９巷３弄１１７號三樓之１,3.0,40.0,1,21.83,548675,0.0,,25.127534,121.530187,石牌站出口1,2053,有電梯_7樓以下
房地(土地+建物)+車位,天玉街１２３號二樓,2.0,17.0,1,93.64,999660,37.23,241741.0,25.124585,121.531557,石牌站出口1,1959,有電梯_7樓以下
房地(土地+建物)+車位,內湖路一段９１巷８１號四樓,4.0,0.0,1,24.55,921133,2.0,1000000.0,25.089171,121.56254,劍南路站出口1,832,有電梯_7樓以下
房地(土地+建物)+車位,內湖路一段９１巷８５號四樓,4.0,0.0,1,30.95,915147,2.0,1000000.0,25.089213,121.562618,劍南路站出口1,841,有電梯_7樓以下
房地(土地+建物),忠順街二段５１號七樓,7.0,40.0,1,24.56,525995,0.0,,24.984988,121.564178,萬芳社區站出口,1570,有電梯_7樓以下
房地(土地+建物),忠順街二段５３號七樓,7.0,40.0,1,22.57,526374,0.0,,24.985093,121.564199,萬芳社區站出口,1559,有電梯_7樓以下
房地(土地+建物),南京東路六段１５０號六樓之１,6.0,18.0,1,27.97,900897,0.0,,25.05526,121.578951,松山站出口5,536,有電梯_7樓以下
房地(土地+建物),信義路五段１５０巷４９９號二樓之９,2.0,28.0,1,17.43,860435,0.0,,25.021286,121.573541,象山站出口2,1286,有電梯_7樓以下
房地(土地+建物),環河北路二段２６９號四樓之１５,4.0,49.0,1,20.46,684226,0.0,,25.07029,121.509622,大橋頭站出口1A,802,有電梯_7樓以下
房地(土地+建物)+車位,石牌路一段１６６巷３１弄８之１號二樓,2.0,15.0,1,50.49,751425,4.47,0.0,25.113897,121.514478,石牌站出口1,142,有電梯_7樓以下
房地(土地+建物),信義路四段５３巷１６號三樓,3.0,18.0,1,11.39,1394315,0.0,,25.034179,121.544991,大安站出口6,127,有電梯_7樓以下
房地(土地+建物),忠孝東路四段２１６巷１１弄１８號五樓,5.0,48.0,1,41.25,1035181,0.0,,25.040686,121.553845,忠孝敦化站出口3,239,有電梯_7樓以下
房地(土地+建物),同安街６５號二樓之１,2.0,11.0,1,19.31,921727,0.0,,25.023813,121.521562,古亭站出口2,260,有電梯_7樓以下
房地(土地+建物)+車位,木柵路四段３３巷７號二樓之２,2.0,16.0,1,25.9,922888,12.29,0.0,24.994029,121.571084,木柵站出口,517,有電梯_7樓以下
房地(土地+建物)+車位,昌吉街９９巷１６號七樓,7.0,8.0,1,58.01,1045095,11.79,254453.0,25.066413,121.511508,大橋頭站出口1A,343,有電梯_7樓以下
房地(土地+建物),安康路４３４巷２０弄２０號五樓,5.0,28.0,1,21.16,793957,0.0,,25.066861,121.615402,東湖站出口3,347,有電梯_7樓以下
房地(土地+建物)+車位,和平東路二段１０７巷６弄１號,1.0,44.0,1,93.04,890831,0.0,,25.026034,121.540116,科技大樓站出口,355,有電梯_7樓以下
房地(土地+建物)+車位,景福街２３０巷５號二樓,2.0,28.0,1,35.82,698013,0.0,,24.993414,121.539073,景美站出口3,166,有電梯_7樓以下
