交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,松平路１３３號十三樓之３,13.0,30.0,1,122.7,1211378,11.23,0.0,25.03061,121.568727,象山站出口2,230,有電梯_7樓以上
房地(土地+建物)+車位,成功路五段４５０巷２１弄４９號十二樓,12.0,22.0,1,85.04,766737,0.0,,25.073482,121.607911,葫洲站出口1,109,有電梯_7樓以上
房地(土地+建物)+車位,中和街３６６號十九樓之３,19.0,23.0,1,63.03,368086,0.0,,25.141741,121.499514,新北投站出口2,621,有電梯_7樓以上
房地(土地+建物),仁愛路四段６２號十四樓之５,14.0,44.0,1,12.6,1055884,0.0,,25.037597,121.547607,忠孝敦化站出口6,413,有電梯_7樓以上
房地(土地+建物)+車位,和平東路四段６６巷５號十四樓,14.0,25.0,1,85.93,584294,13.62,0.0,25.006657,121.565572,辛亥站出口,879,有電梯_7樓以上
房地(土地+建物)+車位,建國北路一段６３號十樓,10.0,8.0,1,63.23,978369,11.83,304311.0,25.050816,121.537142,松江南京站出口5,330,有電梯_7樓以上
房地(土地+建物)+車位,安和路二段７０號十一樓之２,11.0,40.0,1,68.03,749712,0.0,,25.030205,121.551757,信義安和站出口2A,305,有電梯_7樓以上
房地(土地+建物)+車位,一壽街３巷２５號十樓,10.0,20.0,1,60.22,508123,0.0,,24.980139,121.557645,大坪林站出口5,1486,有電梯_7樓以上
房地(土地+建物),延平北路五段５０號十樓,10.0,9.0,1,43.4,557648,0.0,,25.080185,121.511019,圓山站出口2,1309,有電梯_7樓以上
房地(土地+建物),南京東路五段１５６號十一樓,11.0,37.0,1,41.62,696816,0.0,,25.051231,121.562843,南京三民站出口2,23,有電梯_7樓以上
房地(土地+建物),青年路３０巷５號十樓之１,10.0,35.0,1,33.35,632016,0.0,,25.026488,121.504958,龍山寺站出口3,1049,有電梯_7樓以上
房地(土地+建物)+車位,忠義街１４５號八樓,8.0,31.0,1,63.91,726230,15.44,0.0,25.108584,121.533088,芝山站出口2,1204,有電梯_7樓以上
房地(土地+建物),中華路二段５０４巷５７號八樓,8.0,43.0,1,13.94,434028,0.0,,25.024917,121.508028,小南門站出口3,1193,有電梯_7樓以上
房地(土地+建物),立農街一段１８７巷１號十一樓,11.0,29.0,1,35.35,613346,0.0,,25.120586,121.504302,唭哩岸站出口2,163,有電梯_7樓以上
房地(土地+建物),新生北路三段７號十樓之３,10.0,40.0,1,43.67,657174,0.0,,25.063389,121.527988,中山國小站出口4,131,有電梯_7樓以上
